product_name,slug,description,category_slug,price,image,stock,is_available
ফরমাল জামা-1,1,"ফরমাল জামা-1 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",jama,1271,1.jpg,176,False
আধুনিক জুতা-2,2,"আধুনিক জুতা-2 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,4323,2.jpg,59,True
আউটডোর গেঞ্জি-3,3,"আউটডোর গেঞ্জি-3 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,1928,3.jpg,123,True
উলের শার্ট-4,4,"উলের শার্ট-4 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",shirt,2242,4.jpg,145,True
সাদা টুপি-5,5,"সাদা টুপি-5 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",tupi,2927,5.jpg,17,False
আধুনিক গেঞ্জি-6,6,"আধুনিক গেঞ্জি-6 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,954,6.jpg,28,False
ডিজাইনার টুপি-7,7,"ডিজাইনার টুপি-7 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",tupi,554,7.jpg,38,False
স্পোর্টস টুপি-8,8,"স্পোর্টস টুপি-8 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",tupi,1757,8.jpg,242,True
আধুনিক গেঞ্জি-9,9,"আধুনিক গেঞ্জি-9 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,1593,9.jpg,155,True
মার্জিত গেঞ্জি-10,10,"মার্জিত গেঞ্জি-10 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,1330,10.jpg,205,True
আধুনিক জুতা-11,11,"আধুনিক জুতা-11 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,3332,11.jpg,267,False
স্টাইলিশ গেঞ্জি-12,12,"স্টাইলিশ গেঞ্জি-12 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,2320,12.jpg,293,True
